   text	   data	    bss	    dec	    hex	filename
    200	      0	      9	    209	     d1	action.o
   4893	      0	    586	   5479	   1567	asserv.o
   4268	      0	      0	   4268	   10ac	astar.o
   6757	      0	    666	   7423	   1cff	avoidance.o
   2481	      0	     24	   2505	    9c9	calibrate.o
   1014	      0	      0	   1014	    3f6	capture_action.o
   1528	      0	      0	   1528	    5f8	deposit_action.o
    442	      0	     13	    455	    1c7	eirbot_shell.o
    220	      0	      8	    228	     e4	fpga.o
   2519	      0	      0	   2519	    9d7	harvest_action.o
   1463	      1	      0	   1464	    5b8	hunt_action.o
   2144	      0	    499	   2643	    a53	main.o
   1851	      0	      0	   1851	    73b	master_action.o
   3210	      0	    416	   3626	    e2a	my_world.o
    174	      0	      0	    174	     ae	node.o
   1388	      0	      0	   1388	    56c	paint_action.o
    740	      0	      0	    740	    2e4	position_manager.o
   3360	      0	     45	   3405	    d4d	rds.o
   5564	      0	      0	   5564	   15bc	rect_trajectory_manager.o
   1338	      0	      0	   1338	    53a	secure_robot.o
    376	      0	      3	    379	    17b	secure_timer.o
    318	      0	     24	    342	    156	servo.o
    362	      0	      0	    362	    16a	skating_detector.o
   1662	      0	      4	   1666	    682	strategy.o
    630	      0	      0	    630	    276	trajectory_manager.o
   1056	      0	    284	   1340	    53c	trajectory.o
   text	   data	    bss	    dec	    hex	filename
   2710	      0	      0	   2710	    a96	aabb_collision.o
     82	      0	      4	     86	     56	aversive.o
    616	      0	      0	    616	    268	binary_stream_read.o
    460	      0	      0	    460	    1cc	binary_stream_write.o
   1272	      0	      0	   1272	    4f8	circle_collision.o
    190	      0	      0	    190	     be	diff_filter.o
   3286	      0	      0	   3286	    cd6	formatted_stream_read.o
   1706	      0	      0	   1706	    6aa	formatted_stream_write.o
    258	      0	      0	    258	    102	internal_buffered_stream.o
      0	      2	      0	      2	      2	interrupts.o
   1098	      0	     42	   1140	    474	pid_filter.o
     78	      0	      0	     78	     4e	point_collision.o
   1800	      0	      0	   1800	    708	quadramp_filter.o
   3160	      0	      0	   3160	    c58	quadrilateral_collision.o
   3612	      0	    136	   3748	    ea4	scheduler.o
   1034	      0	      0	   1034	    40a	segment_collision.o
      0	      0	      0	      0	      0	stream.o
    740	      0	     60	    800	    320	timer.o
   2532	      0	      0	   2532	    9e4	triangle_collision.o
    368	      0	     30	    398	    18e	uart.o
