   text	   data	    bss	    dec	    hex	filename
    306	      2	      2	    310	    136	adc.avr.o
   2812	      0	     16	   2828	    b0c	asserv_manager.avr.o
   1282	      0	      0	   1282	    502	ax12.avr.o
    238	      0	      0	    238	     ee	cirbuf_add_buf_head.avr.o
    242	      0	      0	    242	     f2	cirbuf_add_buf_tail.avr.o
    140	      0	      0	    140	     8c	cirbuf_add_head.avr.o
    132	      0	      0	    132	     84	cirbuf_add_tail.avr.o
    496	      0	      0	    496	    1f0	cirbuf_align.avr.o
     24	      0	      0	     24	     18	cirbuf.avr.o
     66	      0	      0	     66	     42	cirbuf_del_buf_head.avr.o
     74	      0	      0	     74	     4a	cirbuf_del_buf_tail.avr.o
     92	      0	      0	     92	     5c	cirbuf_del_head.avr.o
    100	      0	      0	    100	     64	cirbuf_del_tail.avr.o
    140	      0	      0	    140	     8c	cirbuf_get_buf_head.avr.o
    164	      0	      0	    164	     a4	cirbuf_get_buf_tail.avr.o
     26	      0	      0	     26	     1a	cirbuf_get_head.avr.o
     26	      0	      0	     26	     1a	cirbuf_get_tail.avr.o
    498	      0	      0	    498	    1f2	control_system_manager.avr.o
    158	      0	      0	    158	     9e	diff.avr.o
    166	      0	      0	    166	     a6	error.avr.o
   1476	      0	      0	   1476	    5c4	evitement.avr.o
     34	      0	      0	     34	     22	fxx.avr.o
    342	      0	      0	    342	    156	gp2.avr.o
   2982	      3	     25	   3010	    bc2	main.avr.o
    110	      0	      0	    110	     6e	modulo.avr.o
    746	      0	      0	    746	    2ea	multiservo.avr.o
    324	      0	      0	    324	    144	obstacle.avr.o
    642	      0	      0	    642	    282	pid.avr.o
   2036	      0	      1	   2037	    7f5	position_manager.avr.o
    158	      0	      0	    158	     9e	pwm.avr.o
   1482	      0	      0	   1482	    5ca	quadramp.avr.o
    230	      0	      0	    230	     e6	ramp.avr.o
    184	      0	      0	    184	     b8	scheduler_add.avr.o
    108	      0	      0	    108	     6c	scheduler.avr.o
     38	      0	      0	     38	     26	scheduler_del.avr.o
    488	      0	      0	    488	    1e8	scheduler_dump.avr.o
    338	      0	      2	    340	    154	scheduler_interrupt.avr.o
   3153	      0	      8	   3161	    c59	strategie.avr.o
    520	      0	     12	    532	    214	time.avr.o
      0	      0	      0	      0	      0	timers_synch.avr.o
   8450	      0	      1	   8451	   2103	trajectory_manager.avr.o
     16	      0	      0	     16	     10	uart0_dev_io.avr.o
     36	      0	      0	     36	     24	uart0_events.avr.o
    172	      0	      0	    172	     ac	uart0_getconf.avr.o
     14	      0	      0	     14	      e	uart0_recv9.avr.o
     84	      0	      0	     84	     54	uart0_recv9_nowait.avr.o
     14	      0	      0	     14	      e	uart0_recv.avr.o
     58	      0	      0	     58	     3a	uart0_recv_nowait.avr.o
     86	      0	      0	     86	     56	uart0_send9.avr.o
    140	      0	      0	    140	     8c	uart0_send9_nowait.avr.o
     60	      0	      0	     60	     3c	uart0_send.avr.o
     90	      0	      0	     90	     5a	uart0_send_nowait.avr.o
    342	      0	      0	    342	    156	uart0_setconf.avr.o
      0	      0	      0	      0	      0	uart1_dev_io.avr.o
      0	      0	      0	      0	      0	uart1_events.avr.o
      0	      0	      0	      0	      0	uart1_getconf.avr.o
      0	      0	      0	      0	      0	uart1_recv9.avr.o
      0	      0	      0	      0	      0	uart1_recv9_nowait.avr.o
      0	      0	      0	      0	      0	uart1_recv.avr.o
      0	      0	      0	      0	      0	uart1_recv_nowait.avr.o
      0	      0	      0	      0	      0	uart1_send9.avr.o
      0	      0	      0	      0	      0	uart1_send9_nowait.avr.o
      0	      0	      0	      0	      0	uart1_send.avr.o
      0	      0	      0	      0	      0	uart1_send_nowait.avr.o
      0	      0	      0	      0	      0	uart1_setconf.avr.o
      0	      0	      0	      0	      0	uart2_dev_io.avr.o
      0	      0	      0	      0	      0	uart2_events.avr.o
      0	      0	      0	      0	      0	uart2_getconf.avr.o
      0	      0	      0	      0	      0	uart2_recv9.avr.o
      0	      0	      0	      0	      0	uart2_recv9_nowait.avr.o
      0	      0	      0	      0	      0	uart2_recv.avr.o
      0	      0	      0	      0	      0	uart2_recv_nowait.avr.o
      0	      0	      0	      0	      0	uart2_send9.avr.o
      0	      0	      0	      0	      0	uart2_send9_nowait.avr.o
      0	      0	      0	      0	      0	uart2_send.avr.o
      0	      0	      0	      0	      0	uart2_send_nowait.avr.o
      0	      0	      0	      0	      0	uart2_setconf.avr.o
      0	      0	      0	      0	      0	uart3_dev_io.avr.o
      0	      0	      0	      0	      0	uart3_events.avr.o
      0	      0	      0	      0	      0	uart3_getconf.avr.o
      0	      0	      0	      0	      0	uart3_recv9.avr.o
      0	      0	      0	      0	      0	uart3_recv9_nowait.avr.o
      0	      0	      0	      0	      0	uart3_recv.avr.o
      0	      0	      0	      0	      0	uart3_recv_nowait.avr.o
      0	      0	      0	      0	      0	uart3_send9.avr.o
      0	      0	      0	      0	      0	uart3_send9_nowait.avr.o
      0	      0	      0	      0	      0	uart3_send.avr.o
      0	      0	      0	      0	      0	uart3_send_nowait.avr.o
      0	      0	      0	      0	      0	uart3_setconf.avr.o
    502	      0	      4	    506	    1fa	uart.avr.o
      2	      0	      0	      2	      2	uart_host.avr.o
    832	      0	      0	    832	    340	vect2.avr.o
    664	      4	      0	    668	    29c	verre.avr.o
